,entity_id,entity_type,time_index,fiware_servicepath,__original_ngsi_entity__,weight_id,angular_coefficient_c1,angular_coefficient_c2,angular_coefficient_c3,angular_coefficient_c4,angular_coefficient_c5,angular_coefficient_c6,angular_coefficient_c7,angular_coefficient_c8,external_power_c1,external_power_c2,external_power_c3,external_power_c4,external_power_c5,external_power_c6,external_power_c7,external_power_c8,firmware_c1,firmware_c2,firmware_c3,firmware_c4,firmware_c5,firmware_c6,firmware_c7,firmware_c8,point_c1,point_c2,point_c3,point_c4,point_c5,point_c6,point_c7,point_c8,serialn_c1,serialn_c2,serialn_c3,serialn_c4,serialn_c5,serialn_c6,serialn_c7,serialn_c8,temperature_c1,temperature_c2,temperature_c3,temperature_c4,temperature_c5,temperature_c6,temperature_c7,temperature_c8,weight_c1,weight_c2,weight_c3,weight_c4,weight_c5,weight_c6,weight_c7,weight_c8,voltage_c1,voltage_c2,voltage_c3,voltage_c4,voltage_c5,voltage_c6,voltage_c7,voltage_c8,datetime,total_weight
582,urn:ngsi-v2:DSX:002,DSX,1646397041362,/,,a7575075-d2f8-4f16-95be-e9054b3c6c0b,,,,,,,,,,,,,,,,,,,,,,,,,"14776,1","15975,7","17561,6","17210,4","9119,3","5588,2","4012,6","5976,0",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,4","9,2","9,7","10,0","11,7","11,5","11,0","11,9",0,-1,1,-1,-2,-2,0,0,"11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:30:41.362,-5
580,urn:ngsi-v2:DSX:002,DSX,1646397046182,/,,a7575075-d2f8-4f16-95be-e9054b3c6c0b,,,,,,,,,,,,,,,,,,,,,,,,,"14775,1","15971,6","17547,2","17202,0","9129,5","5597,4","4010,8","5972,3",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,4","9,2","9,7","10,0","11,7","11,5","11,0","11,9",0,-1,-2,-3,0,0,0,0,"11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:30:46.182,-6
291,urn:ngsi-v2:DSX:002,DSX,1646397051236,/,,a7575075-d2f8-4f16-95be-e9054b3c6c0b,,,,,,,,,,,,,,,,,,,,,,,,,"14771,5","15975,3","17550,5","17207,9","9127,0","5604,2","4011,3","5973,1",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,4","9,2","9,7","10,0","11,7","11,5","11,0","11,9",-1,-1,-1,-2,-1,1,0,0,"11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:30:51.236,-5
857,urn:ngsi-v2:DSX:002,DSX,1646397356456,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14773,4","15973,6","17552,5","17206,4","9130,1","5601,3","4013,8","5969,2",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,0,0,-1,-2,0,-1,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:35:56.456,-4
15,urn:ngsi-v2:DSX:002,DSX,1646397361217,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14771,3","15970,6","17552,1","17205,6","9127,6","5601,8","4011,8","5973,4",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,0,0,-2,-2,0,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:01.217,-4
859,urn:ngsi-v2:DSX:002,DSX,1646397366254,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14775,5","15975,1","17551,1","17204,9","9129,6","5593,7","4011,9","5974,9",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",1,1,0,0,-1,-3,0,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:06.254,-2
290,urn:ngsi-v2:DSX:002,DSX,1646397371129,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14773,3","15973,6","17547,6","17200,9","9130,2","5603,1","4010,6","5972,8",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,-1,-1,-1,-1,-1,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:11.129,-5
292,urn:ngsi-v2:DSX:002,DSX,1646397376256,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14769,8","15968,1","17546,1","17204,3","9127,2","5599,8","4014,7","5972,7",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,-1,-1,0,-2,-2,0,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:16.256,-6
295,urn:ngsi-v2:DSX:002,DSX,1646397381004,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14773,0","15970,8","17546,1","17204,7","9136,4","5598,2","4010,7","5974,7",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",0,0,-1,0,0,-2,-1,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:21.004,-4
289,urn:ngsi-v2:DSX:002,DSX,1646397386021,/,,1ce58a92-9cbe-455c-bce9-f52ae7167fa8,,,,,,,,,,,,,,,,,,,,,,,,,"14767,2","15966,0","17547,2","17201,4","9125,0","5599,7","4012,1","5973,5",03180010-0006 03180010-0006,03180009-0006 03180009-0006,03180005-0006 03180005-0006,03180006-0006 03180006-0006,03180008-0006 03180008-0006,03180007-0006 03180007-0006,03180012-0006 03180012-0006,03180011-0006 03180011-0006,"9,6","9,4","9,8","10,2","11,9","11,7","11,1","12,0",-1,-1,-1,-1,-2,-2,0,0,"11,3 5,0","11,3 5,0","11,3 5,0","11,4 5,0","11,3 5,0","11,4 5,0","11,4 5,0","11,3 5,0",2022-03-04 12:36:26.021,-8
